name	name_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Archib	Арчиб	42.066773791314056	46.86868912346467	Russian
Corpus of Russian spoken in Bashkortostan	Корпус русской речи Башкирии	http://lingconlab.ru/BashkirRus/	corpus	корпус	bilingual	билингвальный	Baimovo	Баимово	53.737743942789606	58.841752139886296	Russian
Spoken corpus of Bashkir	Устный корпус башкирского языка	http://lingconlab.ru/spoken_bashkir/	corpus	корпус	minority	малых языков	Baimovo	Баимово	53.72758163300355	58.84260186495608	Bashkir
Corpus of Opochetsky dialects	Корпус опочецких говоров	http://lingconlab.ru/opochka	corpus	корпус	dialectal	диалектный	Balashi	Балаши	56.817530393633696	28.68758590886312	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Balkhar	Балхар	42.27872959608852	47.231176674231946	Russian
Corpus of Opochetsky dialects	Корпус опочецких говоров	http://lingconlab.ru/opochka	corpus	корпус	dialectal	диалектный	Barabany	Барабаны	56.794103749023805	28.684124062817638	Russian
Spoken corpus of Khakas	Устный корпус диалектов хакасского языка	http://lingconlab.ru/spoken_khakas/	corpus	корпус	minority	малых языков	Butrachty	Бутрахты	52.81184384781556	89.9874281348034	Khakas
Corpus of Karelian Russian	Корпус русской речи Карелии	http://lingconlab.ru/karelrus/ 	corpus	корпус	bilingual	билингвальный	Vedlozero	Ведлозеро	61.5840497029774	32.84259866170329	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Verkhniye Ubeki	Верхние Убеки	42.36709294718831	47.24507508934407	Russian
Corpus of Karelian Russian	Корпус русской речи Карелии	http://lingconlab.ru/karelrus/ 	corpus	корпус	bilingual	билингвальный	Voknavolok	Вокнаволок	64.9636709620851	30.559726789431615	Russian
Corpus of Opochetsky dialects	Корпус опочецких говоров	http://lingconlab.ru/opochka	corpus	корпус	dialectal	диалектный	Glazanovo	Глазаново	56.813200025131074	28.682393639550646	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Darwag	Дарваг	42.023911620836486	48.062863063121014	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Dubek	Дубек	42.02448591223505	47.96547434122964	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Durangi	Дуранги	42.63540419278629	47.223737383448714	Russian
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Yersi	Ерси	42.02074133834424	48.00888326324284	Russian
